Player,Date,Elo
Denis Shapovalov,2018-01-01,1786.21941697
Matteo Berrettini,2018-01-01,1603.01071318
Hubert Hurkacz,2018-01-01,1507.16275765
Denis Shapovalov,2018-01-08,1768.52943984
Matteo Berrettini,2018-01-08,1673.2603804
Hubert Hurkacz,2018-01-08,1515.69849195
Denis Shapovalov,2018-01-15,1774.90561663
Matteo Berrettini,2018-01-15,1673.2603804
Hubert Hurkacz,2018-01-15,1515.69849195
Denis Shapovalov,2018-01-29,1790.55212514
Matteo Berrettini,2018-01-29,1664.95893058
Hubert Hurkacz,2018-01-29,1516.6833786
Denis Shapovalov,2018-02-05,1777.00110764
Matteo Berrettini,2018-02-05,1664.95893058
Hubert Hurkacz,2018-02-05,1515.91288212
Denis Shapovalov,2018-02-12,1777.00110764
Matteo Berrettini,2018-02-12,1634.55202832
Hubert Hurkacz,2018-02-12,1531.60552336
Denis Shapovalov,2018-02-19,1777.00110764
Matteo Berrettini,2018-02-19,1656.88637727
Hubert Hurkacz,2018-02-19,1531.60552336
Denis Shapovalov,2018-02-26,1808.87172566
Matteo Berrettini,2018-02-26,1719.91916881
Hubert Hurkacz,2018-02-26,1540.51376463
Denis Shapovalov,2018-03-05,1825.04564556
Matteo Berrettini,2018-03-05,1719.91916881
Hubert Hurkacz,2018-03-05,1512.93309265
Denis Shapovalov,2018-03-19,1815.19445378
Matteo Berrettini,2018-03-19,1749.5965475
Hubert Hurkacz,2018-03-19,1622.65191691
Denis Shapovalov,2018-04-02,1858.07545314
Matteo Berrettini,2018-04-02,1716.67210583
Hubert Hurkacz,2018-04-02,1619.26992456
Denis Shapovalov,2018-04-09,1858.07545314
Matteo Berrettini,2018-04-09,1716.67210583
Hubert Hurkacz,2018-04-09,1619.26992456
Denis Shapovalov,2018-04-16,1858.07545314
Matteo Berrettini,2018-04-16,1693.0648626
Hubert Hurkacz,2018-04-16,1619.26992456
Denis Shapovalov,2018-04-23,1830.56596675
Matteo Berrettini,2018-04-23,1693.0648626
Hubert Hurkacz,2018-04-23,1619.26992456
Denis Shapovalov,2018-04-30,1802.74587979
Matteo Berrettini,2018-04-30,1706.09584548
Hubert Hurkacz,2018-04-30,1643.54623559
Denis Shapovalov,2018-05-07,1802.74587979
Matteo Berrettini,2018-05-07,1679.36831786
Hubert Hurkacz,2018-05-07,1623.58246338
Denis Shapovalov,2018-05-14,1872.29417789
Matteo Berrettini,2018-05-14,1661.08928856
Hubert Hurkacz,2018-05-14,1623.58246338
Denis Shapovalov,2018-05-21,1902.57135495
Matteo Berrettini,2018-05-21,1686.76649506
Hubert Hurkacz,2018-05-21,1623.58246338
Denis Shapovalov,2018-05-28,1902.57135495
Matteo Berrettini,2018-05-28,1686.76649506
Hubert Hurkacz,2018-05-28,1623.58246338
Denis Shapovalov,2018-06-11,1890.28568943
Hubert Hurkacz,2018-06-11,1752.34705353
Matteo Berrettini,2018-06-11,1709.95624242
Denis Shapovalov,2018-06-18,1856.98572618
Hubert Hurkacz,2018-06-18,1752.34705353
Matteo Berrettini,2018-06-18,1709.95624242
Denis Shapovalov,2018-06-25,1831.50256384
Hubert Hurkacz,2018-06-25,1752.34705353
Matteo Berrettini,2018-06-25,1685.97794747
Denis Shapovalov,2018-07-02,1821.54783411
Hubert Hurkacz,2018-07-02,1752.34705353
Matteo Berrettini,2018-07-02,1687.2709111
Denis Shapovalov,2018-07-16,1822.07576471
